epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4744,1.15142,2.68676,1.475,0.78278,0.56065,0.62721,0.4146,1.22945,1.26202,1.67512,0.00331337,0.00331337,0.00331337
2,100.132,1.12848,1.35882,1.39852,0.62212,0.22839,0.23886,0.13899,1.94962,3.13118,2.49216,0.00663355,0.00663355,0.00663355
3,147.555,1.22021,1.44916,1.43791,0.80135,0.45394,0.55313,0.36688,1.38632,1.8131,1.90833,0.00994052,0.00994052,0.00994052
4,194.86,1.26403,1.39554,1.47784,0.80885,0.57936,0.66946,0.43467,1.24484,1.35525,1.83309,0.0099406,0.0099406,0.0099406
5,242.215,1.26582,1.33804,1.49157,0.6789,0.36076,0.3685,0.21711,1.82226,2.39729,2.34549,0.0099208,0.0099208,0.0099208
6,289.372,1.2583,1.25883,1.47101,0.71482,0.55462,0.60854,0.38313,1.4314,1.30445,1.9609,0.009901,0.009901,0.009901
7,336.871,1.25015,1.28324,1.4774,0.81397,0.74208,0.73522,0.49718,1.10882,0.87228,1.53744,0.0098812,0.0098812,0.0098812
8,384.649,1.22751,1.23761,1.46203,0.83114,0.75139,0.75917,0.51862,1.11295,0.86151,1.55138,0.0098614,0.0098614,0.0098614
9,432.801,1.19861,1.14553,1.43236,0.88958,0.71653,0.76206,0.53156,1.07628,0.91528,1.48487,0.0098416,0.0098416,0.0098416
10,481.037,1.19766,1.12909,1.41147,0.87751,0.74324,0.76419,0.54827,1.08705,0.70603,1.48041,0.0098218,0.0098218,0.0098218
11,529.171,1.16743,1.08156,1.39827,0.86356,0.69171,0.73821,0.48561,1.20642,0.8895,1.62307,0.009802,0.009802,0.009802
12,577.493,1.14334,1.02549,1.37679,0.92739,0.76735,0.77867,0.57176,0.97831,0.63448,1.42941,0.0097822,0.0097822,0.0097822
13,625.797,1.15231,1.03732,1.38677,0.92804,0.77156,0.78575,0.55859,1.04344,0.67057,1.47929,0.0097624,0.0097624,0.0097624
14,674.667,1.12539,1.01723,1.36155,0.89119,0.75651,0.76978,0.5633,0.98753,0.63932,1.44407,0.0097426,0.0097426,0.0097426
15,723.021,1.14202,1.01489,1.383,0.89661,0.78382,0.77257,0.55523,1.02327,0.65675,1.47274,0.0097228,0.0097228,0.0097228
16,771.465,1.14351,1.00562,1.36807,0.92844,0.74366,0.77478,0.54334,1.06222,0.68727,1.49785,0.009703,0.009703,0.009703
