epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5912,1.22305,2.48085,1.49738,0.729,0.57033,0.6457,0.4159,1.26802,1.70068,1.91555,0.000331337,0.000331337,0.000331337
2,101.6,1.33177,1.68767,1.56895,0.74054,0.55291,0.62484,0.37297,1.50245,2.47031,2.00471,0.000663026,0.000663026,0.000663026
3,149.681,1.36214,1.6323,1.56302,0.7816,0.54783,0.64625,0.39146,1.43655,1.57761,1.88028,0.000993064,0.000993064,0.000993064
4,197.332,1.32146,1.48791,1.51741,0.82165,0.67337,0.72009,0.44558,1.29595,1.16409,1.78899,0.000992575,0.000992575,0.000992575
5,245.686,1.24962,1.35808,1.49466,0.83606,0.69483,0.71136,0.47984,1.1962,1.01536,1.64201,0.0009901,0.0009901,0.0009901
6,294.152,1.24785,1.32706,1.45683,0.8543,0.731,0.7635,0.52007,1.16023,0.88738,1.55327,0.000987625,0.000987625,0.000987625
7,343.377,1.2517,1.3061,1.47324,0.83113,0.66066,0.68336,0.44282,1.30054,1.07039,1.76715,0.00098515,0.00098515,0.00098515
8,392.732,1.21861,1.23232,1.44415,0.85832,0.73828,0.76114,0.52985,1.04024,0.79379,1.47455,0.000982675,0.000982675,0.000982675
9,442.243,1.19237,1.18158,1.41498,0.88469,0.71312,0.74246,0.51749,1.0951,0.82026,1.47217,0.0009802,0.0009802,0.0009802
10,491.833,1.18333,1.13337,1.3987,0.9263,0.7522,0.77869,0.55002,1.08226,0.69171,1.48132,0.000977725,0.000977725,0.000977725
11,541.874,1.15796,1.0993,1.39297,0.8948,0.74218,0.77198,0.52559,1.12674,0.7843,1.52137,0.00097525,0.00097525,0.00097525
12,591.229,1.12553,1.04579,1.37112,0.93657,0.75196,0.78021,0.56409,1.02333,0.70415,1.46335,0.000972775,0.000972775,0.000972775
13,640.772,1.13478,1.03478,1.37733,0.90915,0.77118,0.78576,0.54991,1.09534,0.68666,1.47085,0.0009703,0.0009703,0.0009703
14,690.281,1.09655,0.98989,1.34153,0.93465,0.76228,0.78779,0.57814,0.95565,0.61054,1.38423,0.000967825,0.000967825,0.000967825
15,740.366,1.13206,1.02922,1.36903,0.91605,0.77872,0.77012,0.54572,1.01917,0.62831,1.46279,0.00096535,0.00096535,0.00096535
16,790.98,1.10739,0.99399,1.34185,0.8969,0.76,0.77474,0.53593,1.09256,0.65546,1.53255,0.000962875,0.000962875,0.000962875
17,840.722,1.10256,0.97972,1.35008,0.93762,0.78513,0.79931,0.56676,1.03994,0.588,1.45367,0.0009604,0.0009604,0.0009604
18,890.735,1.07243,0.92227,1.33298,0.91448,0.76604,0.79053,0.56916,1.0058,0.61845,1.39963,0.000957925,0.000957925,0.000957925
19,940.887,1.06818,0.94211,1.32307,0.9047,0.76288,0.77195,0.56014,0.98993,0.60322,1.41396,0.00095545,0.00095545,0.00095545
20,990.702,1.0617,0.9261,1.32164,0.94752,0.73607,0.78684,0.57786,0.9875,0.60956,1.41917,0.000952975,0.000952975,0.000952975
21,1040.32,1.01904,0.85644,1.29464,0.94593,0.77586,0.79728,0.59464,0.93615,0.5435,1.33413,0.0009505,0.0009505,0.0009505
22,1090.42,1.03966,0.87018,1.29961,0.93852,0.76408,0.79512,0.57656,1.0201,0.57031,1.39556,0.000948025,0.000948025,0.000948025
23,1140.57,1.04689,0.87609,1.31031,0.95018,0.75073,0.79288,0.5784,0.98648,0.549,1.37376,0.00094555,0.00094555,0.00094555
24,1190.24,1.05204,0.88785,1.30737,0.91698,0.77845,0.784,0.57433,0.94401,0.59369,1.3648,0.000943075,0.000943075,0.000943075
25,1239.82,1.04333,0.87223,1.30257,0.94918,0.77417,0.80379,0.59622,0.93785,0.55816,1.33167,0.0009406,0.0009406,0.0009406
26,1290.03,1.02526,0.8967,1.30236,0.91269,0.78608,0.79557,0.58988,0.94312,0.58835,1.36761,0.000938125,0.000938125,0.000938125
27,1339.88,1.032,0.84969,1.29249,0.9211,0.78236,0.79304,0.58215,0.98563,0.53131,1.37158,0.00093565,0.00093565,0.00093565
28,1390.06,1.03532,0.85067,1.29893,0.94243,0.78736,0.80327,0.58968,0.93925,0.55257,1.35503,0.000933175,0.000933175,0.000933175
29,1439.94,1.01049,0.82949,1.28263,0.93665,0.7684,0.79393,0.58883,0.90013,0.5848,1.33179,0.0009307,0.0009307,0.0009307
30,1490.69,0.99869,0.82198,1.28008,0.92835,0.78317,0.79448,0.58875,0.93992,0.53315,1.33439,0.000928225,0.000928225,0.000928225
31,1540.37,1.04017,0.80296,1.3138,0.94788,0.79676,0.79131,0.58376,0.94258,0.52491,1.3679,0.00092575,0.00092575,0.00092575
